day,tick,v7_total,v7_pepper,v7_osmium,v8_total,v8_pepper,v8_osmium
-1,144000,11670,10851,819,11670,10851,819
-1,145000,11670,10931,739,11670,10931,739
-1,146000,11750,11011,739,11750,11011,739
-1,147000,11310,10371,939,11310,10371,939
-1,148000,12606,11171,1435,12606,11171,1435
-1,149000,11970,11251,719,11970,11251,719
-1,150000,12026,11301,725,12056,11331,725
-1,151000,12096,11371,725,12136,11411,725
-1,152000,12659,11861,798,12769,11971,798
-1,153000,11652,11511,141,11712,11571,141
-1,154000,12306,11581,725,12376,11651,725
-1,155000,12584,11759,826,12676,11851,826
-1,156000,12551,11761,790,12601,11811,790
-1,157000,12456,11736,719,12490,11771,719
-1,158000,12722,11932,790,12881,12091,790
-1,159000,13068,12349,719,13490,12771,719
-1,160000,12676,11957,719,12850,12131,719
-1,161000,12710,11991,719,12930,12211,719
-1,162000,12754,12035,719,13010,12291,719
-1,163000,12793,12145,648,13139,12491,648
-1,164000,12436,11859,577,12548,11971,577
-1,165000,13085,12508,577,13588,13011,577
-1,166000,12834,12253,581,13192,12611,581
-1,167000,12952,12304,648,13339,12691,648
-1,168000,12936,12355,581,13352,12771,581
-1,169000,12996,12482,514,13485,12971,514
-1,170000,13042,12550,492,13544,13051,492
-1,171000,13059,12537,522,13533,13011,522
-1,172000,13006,12514,492,13464,12971,492
-1,173000,13287,12647,640,13811,13171,640
-1,174000,13442,12862,581,14192,13611,581
-1,175000,13112,12886,227,13918,13691,227
-1,176000,13434,12734,699,13990,13291,699
-1,177000,13447,12807,640,14131,13491,640
-1,178000,13302,12662,640,13731,13091,640
-1,179000,13291,12592,699,13630,12931,699
-1,180000,13627,12928,699,14430,13731,699
-1,181000,13474,12952,522,14333,13811,522
-1,182000,13793,12976,817,14708,13891,817
-1,183000,13758,13000,758,14729,13971,758
-1,184000,13900,13024,876,14927,14051,876
-1,185000,13695,13048,647,14778,14131,647
-1,186000,14051,13082,969,15180,14211,969
-1,187000,13863,13101,762,15053,14291,762
-1,188000,13966,13120,846,15218,14371,846
-1,189000,14270,13187,1083,15654,14571,1083
-1,190000,14025,13200,825,15356,14531,825
-1,191000,14096,13228,868,15479,14611,868
-1,192000,14188,13256,932,15624,14691,932
-1,193000,14238,13284,954,15725,14771,954
